occurrence_id,name_as_written,date,town,document_type,husband,children,witnesses,neighbors_adjacent_owners,land_parcel,land_boundaries,indigenous_place_name,role,previous_owner,next_owner,later_appearance,contradiction,identity_status,notes,source_reference
MARY-001,"Mary Bering vid, the late wife of Samll Bering... of Braintree",1671,Block Island,deed,Samuel Bering/Dering (deceased),,,,,Block Island land,,widow/grantor,,,,,UNRESOLVED,sold Block Island land to James Sands,RI Land Evidences Vol I doc 7/8
MARY-002,"Mary which was the wife of Richard Pray of Providence",1672,Providence,,Richard Pray,,,,,,,receipt,,,,,,UNRESOLVED,receipt re: avoiding corporal punishment via fine,RI Land Evidences Vol I
MARY-003,"Mary and William Timberlake",1674,Newport,deed,William Timberlake,,,,,,,,,,,,UNRESOLVED,joint sale,RI Land Evidences Vol I doc 108
